timestamp,elapsed_s,linear_x,angular_z
1773717185.947,1.05,0.2000,0.0000
1773717185.947,1.05,0.2000,0.0000
1773717185.948,1.05,0.2000,0.0000
1773717185.948,1.05,0.2000,0.0000
1773717185.949,1.05,0.2000,0.0000
1773717185.949,1.05,0.2000,0.0000
1773717185.950,1.05,0.2000,0.0000
1773717185.951,1.05,0.2000,0.0000
1773717185.951,1.05,0.2000,0.0000
1773717185.952,1.05,0.2000,0.0000
1773717185.968,1.07,0.2000,0.0000
1773717186.040,1.14,0.2000,0.0000
1773717186.059,1.16,0.2000,0.0000
1773717186.109,1.21,0.2000,0.0000
1773717186.150,1.25,0.2000,0.0000
1773717186.185,1.28,0.2000,0.0000
1773717186.226,1.33,0.2000,0.0000
1773717186.246,1.35,0.2000,0.0000
1773717186.292,1.39,0.2000,0.0000
1773717186.323,1.42,0.2000,0.0000
1773717186.363,1.46,0.2000,0.0000
1773717186.384,1.48,0.2000,0.0000
1773717186.432,1.53,0.2000,0.0000
1773717186.474,1.57,0.2000,0.0000
1773717186.497,1.60,0.2000,0.0000
1773717186.525,1.62,0.2000,0.0000
1773717186.574,1.67,0.2000,0.0000
1773717186.616,1.71,0.2000,0.0000
1773717186.661,1.76,0.2000,0.0000
1773717186.695,1.79,0.2000,0.0000
1773717186.719,1.82,0.2000,0.0000
1773717186.763,1.86,0.2000,0.0000
1773717186.801,1.90,0.2000,0.0000
1773717186.834,1.93,0.2000,0.0000
1773717186.891,1.99,0.2000,0.0000
1773717186.915,2.01,0.2000,0.0000
1773717186.957,2.06,0.2000,0.0000
1773717186.985,2.08,0.2000,0.0000
1773717187.038,2.14,0.2000,0.0000
1773717187.072,2.17,0.2000,0.0000
1773717187.093,2.19,0.2000,0.0000
1773717187.141,2.24,0.2000,0.0000
1773717187.168,2.27,0.2000,0.0000
1773717187.211,2.31,0.2000,0.0000
1773717187.259,2.36,0.2000,0.0000
1773717187.282,2.38,0.2000,0.0000
1773717187.326,2.42,0.2000,0.0000
1773717187.351,2.45,0.2000,0.0000
1773717187.389,2.49,0.2000,0.0000
1773717187.427,2.53,0.2000,0.0000
1773717187.477,2.58,0.2000,0.0000
1773717187.497,2.60,0.2000,0.0000
1773717187.541,2.64,0.2000,0.0000
1773717187.589,2.69,0.2000,0.0000
1773717187.624,2.72,0.2000,0.0000
1773717187.667,2.77,0.2000,0.0000
1773717187.717,2.82,0.2000,0.0000
1773717187.747,2.85,0.2000,0.0000
1773717187.792,2.89,0.2000,0.0000
1773717187.827,2.93,0.2000,0.0000
1773717187.858,2.96,0.2000,0.0000
1773717187.877,2.98,0.2000,0.0000
1773717187.928,3.03,0.2000,0.0000
1773717187.948,3.05,0.2000,0.0000
1773717187.992,3.09,0.2000,0.0000
1773717188.029,3.13,0.2000,0.0000
1773717188.051,3.15,0.2000,0.0000
1773717188.082,3.18,0.2000,0.0000
1773717188.121,3.22,0.2000,0.0000
1773717188.161,3.26,0.2000,0.0000
1773717188.189,3.29,0.2000,0.0000
1773717188.237,3.34,0.2000,0.0000
1773717188.269,3.37,0.2000,0.0000
1773717188.292,3.39,0.2000,0.0000
1773717188.333,3.43,0.2000,0.0000
1773717188.370,3.47,0.2000,0.0000
1773717188.393,3.49,0.2000,0.0000
1773717188.444,3.54,0.2000,0.0000
1773717188.474,3.57,0.2000,0.0000
1773717188.521,3.62,0.2000,0.0000
1773717188.543,3.64,0.2000,0.0000
1773717188.580,3.68,0.2000,0.0000
1773717188.615,3.71,0.2000,0.0000
1773717188.655,3.75,0.2000,0.0000
1773717188.693,3.79,0.2000,0.0000
1773717188.718,3.82,0.2000,0.0000
1773717188.747,3.85,0.2000,0.0000
1773717188.771,3.87,0.2000,0.0000
1773717188.802,3.90,0.2000,0.0000
1773717188.846,3.95,0.2000,0.0000
1773717188.873,3.97,0.2000,0.0000
1773717188.914,4.01,0.2000,0.0000
1773717188.944,4.04,0.2000,0.0000
1773717189.000,4.10,0.2000,0.0000
1773717189.020,4.12,0.2000,0.0000
1773717189.079,4.18,0.2000,0.0000
1773717189.116,4.22,0.2000,0.0000
1773717189.148,4.25,0.2000,0.0000
1773717189.182,4.28,0.2000,0.0000
1773717189.211,4.31,0.2000,0.0000
1773717189.245,4.34,0.1400,0.2500
1773717189.284,4.38,0.1400,0.2500
1773717189.311,4.41,0.1400,0.2500
1773717189.342,4.44,0.2000,0.0000
1773717189.390,4.49,0.2000,0.0000
1773717189.423,4.52,0.1400,0.2500
1773717189.457,4.56,0.1400,0.2500
1773717189.495,4.59,0.1400,0.2500
1773717189.556,4.66,0.1400,0.2500
1773717189.574,4.67,0.1400,0.2500
1773717189.608,4.71,0.1400,0.2500
1773717189.638,4.74,0.2000,0.0000
1773717189.692,4.79,0.1400,0.2500
1773717189.735,4.83,0.1400,0.2500
1773717189.768,4.87,0.1400,0.2500
1773717189.800,4.90,0.1400,0.2500
1773717189.834,4.93,0.2000,0.0000
1773717189.881,4.98,0.2000,0.0000
1773717189.903,5.00,0.2000,0.0000
1773717189.949,5.05,0.2000,0.0000
1773717189.971,5.07,0.2000,0.0000
1773717190.007,5.11,0.2000,0.0000
1773717190.042,5.14,0.2000,0.0000
1773717190.072,5.17,0.2000,0.0000
1773717190.135,5.23,0.2000,0.0000
1773717190.159,5.26,0.2000,0.0000
1773717190.236,5.34,0.2000,0.0000
1773717190.240,5.34,0.2000,0.0000
1773717190.261,5.36,0.2000,0.0000
1773717190.320,5.42,0.2000,0.0000
1773717190.342,5.44,0.2000,0.0000
1773717190.402,5.50,0.2000,0.0000
1773717190.434,5.53,0.2000,0.0000
1773717190.465,5.56,0.2000,0.0000
1773717190.492,5.59,0.2000,0.0000
1773717190.548,5.65,0.2000,0.0000
1773717190.592,5.69,0.2000,0.0000
1773717190.632,5.73,0.2000,0.0000
1773717190.698,5.80,0.2000,0.0000
1773717190.722,5.82,0.2000,0.0000
1773717190.747,5.85,0.2000,0.0000
1773717190.794,5.89,0.2000,0.0000
1773717190.835,5.93,0.2000,0.0000
1773717190.868,5.97,0.2000,0.0000
1773717190.909,6.01,0.2000,0.0000
1773717190.928,6.03,0.2000,0.0000
1773717190.967,6.07,0.2000,0.0000
1773717191.010,6.11,0.2000,0.0000
1773717191.034,6.13,0.2000,0.0000
1773717191.069,6.17,0.2000,0.0000
1773717191.116,6.22,0.2000,0.0000
1773717191.147,6.25,0.2000,0.0000
1773717191.196,6.30,0.2000,0.0000
1773717191.251,6.35,0.2000,0.0000
1773717191.279,6.38,0.2000,0.0000
1773717191.297,6.40,0.2000,0.0000
1773717191.338,6.44,0.2000,0.0000
1773717191.371,6.47,0.2000,0.0000
1773717191.418,6.52,0.2000,0.0000
1773717191.450,6.55,0.2000,0.0000
1773717191.474,6.57,0.2000,0.0000
1773717191.518,6.62,0.2000,0.0000
1773717191.540,6.64,0.2000,0.0000
