timestamp,elapsed_s,num_detections,det_classes,det_confidences,det_areas,det_center_xs,det_center_ys
1773717185.100,0.20,0,,,,,
1773717185.101,0.20,0,,,,,
1773717185.102,0.20,0,,,,,
1773717185.102,0.20,0,,,,,
1773717185.125,0.22,0,,,,,
1773717185.169,0.27,0,,,,,
1773717185.193,0.29,0,,,,,
1773717185.235,0.33,0,,,,,
1773717185.303,0.40,0,,,,,
1773717185.336,0.44,0,,,,,
1773717185.359,0.46,0,,,,,
1773717185.396,0.49,0,,,,,
1773717185.433,0.53,0,,,,,
1773717185.459,0.56,0,,,,,
1773717185.500,0.60,0,,,,,
1773717185.535,0.63,0,,,,,
1773717185.578,0.68,0,,,,,
1773717185.607,0.71,0,,,,,
1773717185.637,0.74,0,,,,,
1773717185.678,0.78,0,,,,,
1773717185.705,0.80,0,,,,,
1773717185.751,0.85,0,,,,,
1773717185.784,0.88,0,,,,,
1773717185.812,0.91,0,,,,,
1773717185.866,0.97,0,,,,,
1773717185.906,1.01,0,,,,,
1773717185.934,1.03,0,,,,,
1773717185.967,1.07,0,,,,,
1773717186.040,1.14,0,,,,,
1773717186.058,1.16,0,,,,,
1773717186.108,1.21,0,,,,,
1773717186.147,1.25,0,,,,,
1773717186.182,1.28,0,,,,,
1773717186.223,1.32,0,,,,,
1773717186.246,1.35,0,,,,,
1773717186.276,1.38,0,,,,,
1773717186.320,1.42,0,,,,,
1773717186.342,1.44,0,,,,,
1773717186.384,1.48,0,,,,,
1773717186.420,1.52,0,,,,,
1773717186.456,1.55,0,,,,,
1773717186.494,1.59,0,,,,,
1773717186.520,1.62,0,,,,,
1773717186.570,1.67,0,,,,,
1773717186.602,1.70,0,,,,,
1773717186.634,1.73,0,,,,,
1773717186.695,1.79,0,,,,,
1773717186.713,1.81,0,,,,,
1773717186.754,1.85,0,,,,,
1773717186.794,1.89,0,,,,,
1773717186.830,1.93,0,,,,,
1773717186.868,1.97,0,,,,,
1773717186.913,2.01,0,,,,,
1773717186.945,2.04,0,,,,,
1773717186.985,2.08,0,,,,,
1773717187.037,2.14,0,,,,,
1773717187.067,2.17,0,,,,,
1773717187.092,2.19,0,,,,,
1773717187.133,2.23,0,,,,,
1773717187.167,2.27,0,,,,,
1773717187.210,2.31,0,,,,,
1773717187.253,2.35,0,,,,,
1773717187.282,2.38,0,,,,,
1773717187.325,2.42,0,,,,,
1773717187.350,2.45,0,,,,,
1773717187.388,2.49,0,,,,,
1773717187.426,2.53,0,,,,,
1773717187.465,2.56,0,,,,,
1773717187.497,2.60,0,,,,,
1773717187.538,2.64,0,,,,,
1773717187.589,2.69,0,,,,,
1773717187.616,2.71,0,,,,,
1773717187.665,2.76,0,,,,,
1773717187.716,2.82,0,,,,,
1773717187.747,2.85,0,,,,,
1773717187.792,2.89,0,,,,,
1773717187.827,2.93,0,,,,,
1773717187.857,2.96,0,,,,,
1773717187.895,2.99,0,,,,,
1773717187.927,3.03,0,,,,,
1773717187.946,3.05,0,,,,,
1773717187.991,3.09,0,,,,,
1773717188.024,3.12,0,,,,,
1773717188.048,3.15,0,,,,,
1773717188.080,3.18,0,,,,,
1773717188.117,3.22,0,,,,,
1773717188.152,3.25,0,,,,,
1773717188.189,3.29,0,,,,,
1773717188.222,3.32,0,,,,,
1773717188.268,3.37,0,,,,,
1773717188.291,3.39,0,,,,,
1773717188.332,3.43,0,,,,,
1773717188.370,3.47,0,,,,,
1773717188.392,3.49,0,,,,,
1773717188.444,3.54,0,,,,,
1773717188.474,3.57,0,,,,,
1773717188.518,3.62,0,,,,,
1773717188.542,3.64,0,,,,,
1773717188.580,3.68,0,,,,,
1773717188.613,3.71,0,,,,,
1773717188.648,3.75,0,,,,,
1773717188.688,3.79,0,,,,,
1773717188.717,3.82,0,,,,,
1773717188.747,3.85,0,,,,,
1773717188.770,3.87,0,,,,,
1773717188.801,3.90,0,,,,,
1773717188.839,3.94,0,,,,,
1773717188.873,3.97,0,,,,,
1773717188.914,4.01,0,,,,,
1773717188.943,4.04,0,,,,,
1773717188.993,4.09,0,,,,,
1773717189.019,4.12,0,,,,,
1773717189.076,4.18,0,,,,,
1773717189.111,4.21,0,,,,,
1773717189.133,4.23,0,,,,,
1773717189.182,4.28,0,,,,,
1773717189.209,4.31,0,,,,,
1773717189.241,4.34,1,person,0.274,42441,562.9,140.2
1773717189.278,4.38,1,person,0.316,63133,526.6,141.3
1773717189.311,4.41,2,person|person,0.371|0.338,57768|32396,535.8|580.7,140.9|140.2
1773717189.341,4.44,0,,,,,
1773717189.389,4.49,0,,,,,
1773717189.417,4.52,1,person,0.396,19118,604.7,138.7
1773717189.456,4.55,1,person,0.379,17139,608.3,138.8
1773717189.491,4.59,1,person,0.253,17098,608.6,138.7
1773717189.546,4.64,1,person,0.327,17465,607.8,139.2
1773717189.571,4.67,1,person,0.463,19510,604.0,138.6
1773717189.608,4.71,1,person,0.332,22306,598.9,139.7
1773717189.637,4.74,0,,,,,
1773717189.672,4.77,2,person|person,0.310|0.263,28617|49681,587.6|550.0,140.5|140.8
1773717189.735,4.83,2,person|person,0.403|0.331,57409|32215,536.6|581.2,141.1|140.3
1773717189.765,4.86,1,person,0.369,61432,530.2,142.3
1773717189.790,4.89,1,person,0.299,61936,528.6,141.1
1773717189.828,4.93,0,,,,,
1773717189.880,4.98,0,,,,,
1773717189.902,5.00,0,,,,,
1773717189.949,5.05,0,,,,,
1773717189.971,5.07,0,,,,,
1773717190.004,5.10,0,,,,,
1773717190.041,5.14,0,,,,,
1773717190.071,5.17,0,,,,,
1773717190.118,5.22,0,,,,,
1773717190.157,5.26,0,,,,,
1773717190.186,5.29,0,,,,,
1773717190.240,5.34,0,,,,,
1773717190.260,5.36,0,,,,,
1773717190.307,5.41,0,,,,,
1773717190.342,5.44,0,,,,,
1773717190.377,5.48,0,,,,,
1773717190.432,5.53,0,,,,,
1773717190.456,5.55,0,,,,,
1773717190.491,5.59,0,,,,,
1773717190.546,5.64,0,,,,,
1773717190.589,5.69,0,,,,,
1773717190.625,5.72,0,,,,,
1773717190.696,5.80,0,,,,,
1773717190.721,5.82,0,,,,,
1773717190.746,5.85,0,,,,,
1773717190.787,5.89,0,,,,,
1773717190.829,5.93,0,,,,,
1773717190.863,5.96,0,,,,,
1773717190.909,6.01,0,,,,,
1773717190.926,6.03,0,,,,,
1773717190.961,6.06,0,,,,,
1773717191.005,6.10,0,,,,,
1773717191.034,6.13,0,,,,,
1773717191.068,6.17,0,,,,,
1773717191.116,6.22,0,,,,,
1773717191.134,6.23,0,,,,,
1773717191.187,6.29,0,,,,,
1773717191.250,6.35,0,,,,,
1773717191.279,6.38,0,,,,,
1773717191.295,6.39,0,,,,,
1773717191.335,6.43,0,,,,,
1773717191.371,6.47,0,,,,,
1773717191.417,6.52,0,,,,,
1773717191.450,6.55,0,,,,,
1773717191.473,6.57,0,,,,,
1773717191.508,6.61,0,,,,,
1773717191.539,6.64,0,,,,,
1773717191.577,6.68,0,,,,,
1773717191.605,6.70,0,,,,,
1773717191.653,6.75,0,,,,,
1773717191.674,6.77,0,,,,,
1773717191.716,6.82,0,,,,,
1773717191.751,6.85,0,,,,,
1773717191.778,6.88,0,,,,,
1773717191.812,6.91,0,,,,,
1773717191.844,6.94,0,,,,,
1773717191.893,6.99,0,,,,,
1773717191.917,7.02,0,,,,,
1773717191.950,7.05,0,,,,,
1773717191.990,7.09,0,,,,,
1773717192.017,7.12,0,,,,,
1773717192.061,7.16,0,,,,,
1773717192.085,7.18,0,,,,,
1773717192.157,7.26,0,,,,,
1773717192.162,7.26,0,,,,,
1773717192.185,7.28,0,,,,,
1773717192.223,7.32,0,,,,,
1773717192.261,7.36,0,,,,,
1773717192.297,7.40,0,,,,,
1773717192.326,7.42,0,,,,,
1773717192.360,7.46,0,,,,,
1773717192.403,7.50,0,,,,,
1773717192.459,7.56,0,,,,,
1773717192.492,7.59,0,,,,,
1773717192.523,7.62,0,,,,,
1773717192.554,7.65,0,,,,,
1773717192.588,7.69,0,,,,,
1773717192.620,7.72,0,,,,,
1773717192.650,7.75,0,,,,,
1773717192.675,7.77,0,,,,,
1773717192.707,7.81,0,,,,,
1773717192.743,7.84,0,,,,,
1773717192.779,7.88,0,,,,,
1773717192.813,7.91,0,,,,,
1773717192.846,7.95,0,,,,,
1773717192.876,7.98,0,,,,,
1773717192.916,8.01,0,,,,,
1773717192.951,8.05,0,,,,,
1773717192.993,8.09,1,person,0.277,65570,522.3,141.5
1773717193.030,8.13,2,person|person,0.357|0.313,60818|36030,531.3|575.1,142.1|141.8
1773717193.065,8.16,2,person|person,0.384|0.283,56212|38381,539.3|570.8,142.1|141.4
1773717193.108,8.21,1,person,0.261,27420,589.7,140.1
1773717193.147,8.25,1,person,0.277,24065,595.7,139.6
1773717193.180,8.28,1,person,0.305,21867,599.8,139.8
1773717193.214,8.31,0,,,,,
1773717193.253,8.35,1,person,0.267,21533,600.4,139.8
1773717193.310,8.41,1,person,0.318,22992,597.7,139.8
1773717193.336,8.44,0,,,,,
1773717193.376,8.47,2,person|person,0.303|0.301,28671|55557,587.6|540.0,140.5|141.3
1773717193.402,8.50,2,person|person,0.426|0.365,57561|32527,536.4|580.7,141.2|140.4
1773717193.439,8.54,2,person|person,0.348|0.258,61444|38221,529.9|570.7,142.0|141.2
1773717193.492,8.59,1,person,0.268,64477,524.5,141.8
1773717193.523,8.62,0,,,,,
1773717193.553,8.65,0,,,,,
1773717193.579,8.68,0,,,,,
1773717193.614,8.71,0,,,,,
1773717193.659,8.76,0,,,,,
1773717193.685,8.78,0,,,,,
1773717193.715,8.81,0,,,,,
1773717193.751,8.85,0,,,,,
1773717193.796,8.89,0,,,,,
1773717193.830,8.93,0,,,,,
1773717193.865,8.96,0,,,,,
1773717193.917,9.02,0,,,,,
1773717193.981,9.08,0,,,,,
1773717194.006,9.11,0,,,,,
1773717194.055,9.15,0,,,,,
1773717194.098,9.20,0,,,,,
1773717194.132,9.23,0,,,,,
1773717194.190,9.29,0,,,,,
1773717194.216,9.32,0,,,,,
1773717194.250,9.35,0,,,,,
1773717194.293,9.39,0,,,,,
1773717194.338,9.44,0,,,,,
1773717194.377,9.48,0,,,,,
1773717194.423,9.52,0,,,,,
1773717194.455,9.55,0,,,,,
1773717194.497,9.60,0,,,,,
1773717194.520,9.62,0,,,,,
1773717194.558,9.66,0,,,,,
1773717194.598,9.70,0,,,,,
1773717194.639,9.74,0,,,,,
1773717194.668,9.77,0,,,,,
1773717194.698,9.80,0,,,,,
1773717194.740,9.84,0,,,,,
1773717194.778,9.88,0,,,,,
1773717194.805,9.90,0,,,,,
1773717194.841,9.94,0,,,,,
1773717194.877,9.98,0,,,,,
1773717194.924,10.02,0,,,,,
1773717194.945,10.04,0,,,,,
1773717194.977,10.08,0,,,,,
1773717195.028,10.13,0,,,,,
1773717195.063,10.16,0,,,,,
1773717195.105,10.20,0,,,,,
1773717195.119,10.22,0,,,,,
1773717195.151,10.25,0,,,,,
1773717195.185,10.28,0,,,,,
1773717195.221,10.32,0,,,,,
1773717195.272,10.37,0,,,,,
1773717195.296,10.39,0,,,,,
1773717195.338,10.44,0,,,,,
1773717195.363,10.46,0,,,,,
1773717195.400,10.50,0,,,,,
1773717195.445,10.54,0,,,,,
1773717195.463,10.56,0,,,,,
1773717195.509,10.61,0,,,,,
1773717195.554,10.65,0,,,,,
1773717195.591,10.69,0,,,,,
1773717195.642,10.74,0,,,,,
1773717195.672,10.77,0,,,,,
1773717195.701,10.80,0,,,,,
1773717195.721,10.82,0,,,,,
1773717195.777,10.88,0,,,,,
1773717195.782,10.88,0,,,,,
1773717195.814,10.91,0,,,,,
1773717195.860,10.96,0,,,,,
1773717195.909,11.01,0,,,,,
1773717195.965,11.06,0,,,,,
1773717195.988,11.09,0,,,,,
1773717196.011,11.11,0,,,,,
1773717196.051,11.15,0,,,,,
1773717196.089,11.19,0,,,,,
1773717196.128,11.23,0,,,,,
1773717196.174,11.27,0,,,,,
1773717196.206,11.31,0,,,,,
1773717196.240,11.34,0,,,,,
1773717196.281,11.38,0,,,,,
1773717196.326,11.43,0,,,,,
1773717196.349,11.45,0,,,,,
1773717196.390,11.49,0,,,,,
1773717196.412,11.51,0,,,,,
1773717196.468,11.57,0,,,,,
1773717196.498,11.60,0,,,,,
1773717196.525,11.62,0,,,,,
1773717196.580,11.68,0,,,,,
1773717196.610,11.71,0,,,,,
1773717196.648,11.75,0,,,,,
1773717196.681,11.78,0,,,,,
1773717196.719,11.82,0,,,,,
1773717196.778,11.88,0,,,,,
1773717196.815,11.91,0,,,,,
1773717196.835,11.93,0,,,,,
1773717196.900,12.00,0,,,,,
1773717196.935,12.03,1,person,0.252,43799,560.2,140.3
1773717196.972,12.07,0,,,,,
1773717197.005,12.10,0,,,,,
1773717197.048,12.15,0,,,,,
1773717197.079,12.18,0,,,,,
1773717197.122,12.22,1,person,0.268,43496,560.6,140.1
1773717197.206,12.31,0,,,,,
1773717197.279,12.38,0,,,,,
1773717197.325,12.42,0,,,,,
1773717197.367,12.47,0,,,,,
1773717197.398,12.50,0,,,,,
1773717197.446,12.55,0,,,,,
1773717197.478,12.58,0,,,,,
1773717197.518,12.62,0,,,,,
1773717197.548,12.65,0,,,,,
1773717197.591,12.69,0,,,,,
1773717197.643,12.74,0,,,,,
1773717197.677,12.78,0,,,,,
1773717197.729,12.83,0,,,,,
1773717197.770,12.87,0,,,,,
1773717197.804,12.90,0,,,,,
1773717197.846,12.94,0,,,,,
1773717197.890,12.99,0,,,,,
1773717197.930,13.03,0,,,,,
1773717197.970,13.07,0,,,,,
1773717198.026,13.13,0,,,,,
